1 : ([1, 2, 3, 4, 5, 6],) : 0.9543248158
2 : ([1], [2, 3, 4, 5, 6]) : 0.9510544000
3 : ([1, 3, 4, 5, 6], [2]) : 0.9180182535
4 : ([1, 2], [3, 4, 5, 6]) : 0.9158632202
5 : ([1], [2], [3, 4, 5, 6]) : 0.9144712223
6 : ([1, 2, 4, 5, 6], [3]) : 0.9196400774
7 : ([1, 3], [2, 4, 5, 6]) : 0.9150889693
8 : ([1], [2, 4, 5, 6], [3]) : 0.9149292441
9 : ([1, 4, 5, 6], [2, 3]) : 0.9501499675
10 : ([1, 4, 5, 6], [2], [3]) : 0.9145141311
11 : ([1, 2, 3], [4, 5, 6]) : 0.9515600004
12 : ([1], [2, 3], [4, 5, 6]) : 0.9498285617
13 : ([1, 3], [2], [4, 5, 6]) : 0.9130582585
14 : ([1, 2], [3], [4, 5, 6]) : 0.9142450531
15 : ([1], [2], [3], [4, 5, 6]) : 0.9128647566
16 : ([1, 2, 3, 5, 6], [4]) : 0.9287790145
17 : ([1, 4], [2, 3, 5, 6]) : 0.9246026386
18 : ([1], [2, 3, 5, 6], [4]) : 0.9243774778
19 : ([1, 3, 5, 6], [2, 4]) : 0.8928755500
20 : ([1, 3, 5, 6], [2], [4]) : 0.8920615770
21 : ([1, 2, 4], [3, 5, 6]) : 0.8954100567
22 : ([1], [2, 4], [3, 5, 6]) : 0.8905041872
23 : ([1, 4], [2], [3, 5, 6]) : 0.8910997214
24 : ([1, 2], [3, 5, 6], [4]) : 0.8922896434
25 : ([1], [2], [3, 5, 6], [4]) : 0.8895914833
26 : ([1, 2, 5, 6], [3, 4]) : 0.8947902522
27 : ([1, 2, 5, 6], [3], [4]) : 0.8945439888
28 : ([1, 3, 4], [2, 5, 6]) : 0.8919189930
29 : ([1], [2, 5, 6], [3, 4]) : 0.8905129462
30 : ([1, 4], [2, 5, 6], [3]) : 0.8913877240
31 : ([1, 3], [2, 5, 6], [4]) : 0.8904207456
32 : ([1], [2, 5, 6], [3], [4]) : 0.8901678059
33 : ([1, 5, 6], [2, 3, 4]) : 0.9247155885
34 : ([1, 5, 6], [2], [3, 4]) : 0.8892841267
35 : ([1, 5, 6], [2, 4], [3]) : 0.8898360255
36 : ([1, 5, 6], [2, 3], [4]) : 0.9232480150
