<function model1 at 0x7f64a8acc0c8>
=== Selected Model: 1 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9959379971
2 : ([1], [2, 3, 4, 5, 6]) : 0.9939047101
3 : ([1, 3, 4, 5, 6], [2]) : 0.9942644420
4 : ([1, 2], [3, 4, 5, 6]) : 0.9927740780
5 : ([1], [2], [3, 4, 5, 6]) : 0.9926987098
6 : ([1, 2, 4, 5, 6], [3]) : 0.9939036118
7 : ([1, 3], [2, 4, 5, 6]) : 0.9926731430
8 : ([1], [2, 4, 5, 6], [3]) : 0.9925646071
9 : ([1, 4, 5, 6], [2, 3]) : 0.9930584475
10 : ([1, 4, 5, 6], [2], [3]) : 0.9929699128
11 : ([1, 2, 3], [4, 5, 6]) : 0.9923913807
12 : ([1], [2, 3], [4, 5, 6]) : 0.9920738538
13 : ([1, 3], [2], [4, 5, 6]) : 0.9920865513
14 : ([1, 2], [3], [4, 5, 6]) : 0.9921113698
15 : ([1], [2], [3], [4, 5, 6]) : 0.9920013591
16 : ([1, 2, 3, 5, 6], [4]) : 0.9938849731
17 : ([1, 4], [2, 3, 5, 6]) : 0.9929757546
18 : ([1], [2, 3, 5, 6], [4]) : 0.9927363219
19 : ([1, 3, 5, 6], [2, 4]) : 0.9930270586
20 : ([1, 3, 5, 6], [2], [4]) : 0.9928609972
21 : ([1, 2, 4], [3, 5, 6]) : 0.9926195114
22 : ([1], [2, 4], [3, 5, 6]) : 0.9922238835
23 : ([1, 4], [2], [3, 5, 6]) : 0.9922134528
24 : ([1, 2], [3, 5, 6], [4]) : 0.9921451361
25 : ([1], [2], [3, 5, 6], [4]) : 0.9920114673
26 : ([1, 2, 5, 6], [3, 4]) : 0.9926825351
27 : ([1, 2, 5, 6], [3], [4]) : 0.9926506497
28 : ([1, 3, 4], [2, 5, 6]) : 0.9922234032
29 : ([1], [2, 5, 6], [3, 4]) : 0.9918625369
30 : ([1, 4], [2, 5, 6], [3]) : 0.9919907471
31 : ([1, 3], [2, 5, 6], [4]) : 0.9919845416
32 : ([1], [2, 5, 6], [3], [4]) : 0.9918207881
33 : ([1, 5, 6], [2, 3, 4]) : 0.9924396791
34 : ([1, 5, 6], [2], [3, 4]) : 0.9921988078
35 : ([1, 5, 6], [2, 4], [3]) : 0.9923384656
36 : ([1, 5, 6], [2, 3], [4]) : 0.9922690684
37 : ([1, 5, 6], [2], [3], [4]) : 0.9921992577
38 : ([1, 2, 3, 4], [5, 6]) : 0.9924840011
39 : ([1], [2, 3, 4], [5, 6]) : 0.9918373472
40 : ([1, 3, 4], [2], [5, 6]) : 0.9918987413
41 : ([1, 2], [3, 4], [5, 6]) : 0.9916946538
42 : ([1], [2], [3, 4], [5, 6]) : 0.9915717713
43 : ([1, 2, 4], [3], [5, 6]) : 0.9921367632
44 : ([1, 3], [2, 4], [5, 6]) : 0.9918417323
45 : ([1], [2, 4], [3], [5, 6]) : 0.9917350832
46 : ([1, 4], [2, 3], [5, 6]) : 0.9917939910
47 : ([1, 4], [2], [3], [5, 6]) : 0.9917138436
48 : ([1, 2, 3], [4], [5, 6]) : 0.9919801184
49 : ([1], [2, 3], [4], [5, 6]) : 0.9916305593
50 : ([1, 3], [2], [4], [5, 6]) : 0.9916800131
51 : ([1, 2], [3], [4], [5, 6]) : 0.9916922861
52 : ([1], [2], [3], [4], [5, 6]) : 0.9915606982
53 : ([1, 2, 3, 4, 6], [5]) : 0.9942293138
54 : ([1, 5], [2, 3, 4, 6]) : 0.9927745066
55 : ([1], [2, 3, 4, 6], [5]) : 0.9926429722
56 : ([1, 3, 4, 6], [2, 5]) : 0.9929576605
57 : ([1, 3, 4, 6], [2], [5]) : 0.9928933997
58 : ([1, 2, 5], [3, 4, 6]) : 0.9921251327
59 : ([1], [2, 5], [3, 4, 6]) : 0.9918415736
60 : ([1, 5], [2], [3, 4, 6]) : 0.9919547678
61 : ([1, 2], [3, 4, 6], [5]) : 0.9919133686
62 : ([1], [2], [3, 4, 6], [5]) : 0.9918074521
63 : ([1, 2, 4, 6], [3, 5]) : 0.9931664272
64 : ([1, 2, 4, 6], [3], [5]) : 0.9930686794
65 : ([1, 3, 5], [2, 4, 6]) : 0.9924485239
66 : ([1], [2, 4, 6], [3, 5]) : 0.9922084745
67 : ([1, 5], [2, 4, 6], [3]) : 0.9921801266
68 : ([1, 3], [2, 4, 6], [5]) : 0.9921795506
69 : ([1], [2, 4, 6], [3], [5]) : 0.9920457829
70 : ([1, 4, 6], [2, 3, 5]) : 0.9927102942
71 : ([1, 4, 6], [2], [3, 5]) : 0.9925184957
72 : ([1, 4, 6], [2, 5], [3]) : 0.9923841338
73 : ([1, 4, 6], [2, 3], [5]) : 0.9924620778
74 : ([1, 4, 6], [2], [3], [5]) : 0.9923925842
75 : ([1, 2, 3, 5], [4, 6]) : 0.9924629503
76 : ([1], [2, 3, 5], [4, 6]) : 0.9920978733
77 : ([1, 3, 5], [2], [4, 6]) : 0.9920905917
78 : ([1, 2], [3, 5], [4, 6]) : 0.9919686463
79 : ([1], [2], [3, 5], [4, 6]) : 0.9918369013
80 : ([1, 2, 5], [3], [4, 6]) : 0.9919932114
81 : ([1, 3], [2, 5], [4, 6]) : 0.9918547465
82 : ([1], [2, 5], [3], [4, 6]) : 0.9917161377
83 : ([1, 5], [2, 3], [4, 6]) : 0.9919041533
84 : ([1, 5], [2], [3], [4, 6]) : 0.9918503916
85 : ([1, 2, 3], [4, 6], [5]) : 0.9921255057
86 : ([1], [2, 3], [4, 6], [5]) : 0.9917761846
87 : ([1, 3], [2], [4, 6], [5]) : 0.9918332115
88 : ([1, 2], [3], [4, 6], [5]) : 0.9918355942
89 : ([1], [2], [3], [4, 6], [5]) : 0.9917123342
90 : ([1, 2, 3, 6], [4, 5]) : 0.9930064922
91 : ([1, 2, 3, 6], [4], [5]) : 0.9929163725
92 : ([1, 4, 5], [2, 3, 6]) : 0.9924069163
93 : ([1], [2, 3, 6], [4, 5]) : 0.9920211651
94 : ([1, 5], [2, 3, 6], [4]) : 0.9920216385
95 : ([1, 4], [2, 3, 6], [5]) : 0.9920944246
96 : ([1], [2, 3, 6], [4], [5]) : 0.9919279551
97 : ([1, 3, 6], [2, 4, 5]) : 0.9925191293
98 : ([1, 3, 6], [2], [4, 5]) : 0.9922498257
99 : ([1, 3, 6], [2, 5], [4]) : 0.9922242588
100 : ([1, 3, 6], [2, 4], [5]) : 0.9923673789
101 : ([1, 3, 6], [2], [4], [5]) : 0.9921758279
102 : ([1, 2, 4, 5], [3, 6]) : 0.9926427165
103 : ([1], [2, 4, 5], [3, 6]) : 0.9919596366
104 : ([1, 4, 5], [2], [3, 6]) : 0.9921204781
105 : ([1, 2], [3, 6], [4, 5]) : 0.9918564584
106 : ([1], [2], [3, 6], [4, 5]) : 0.9917194902
107 : ([1, 2, 5], [3, 6], [4]) : 0.9918894853
108 : ([1, 4], [2, 5], [3, 6]) : 0.9917851493
109 : ([1], [2, 5], [3, 6], [4]) : 0.9916294506
110 : ([1, 5], [2, 4], [3, 6]) : 0.9919221922
111 : ([1, 5], [2], [3, 6], [4]) : 0.9917489731
112 : ([1, 2, 4], [3, 6], [5]) : 0.9922094188
113 : ([1], [2, 4], [3, 6], [5]) : 0.9918244111
114 : ([1, 4], [2], [3, 6], [5]) : 0.9917844147
115 : ([1, 2], [3, 6], [4], [5]) : 0.9917583460
116 : ([1], [2], [3, 6], [4], [5]) : 0.9916281966
117 : ([1, 2, 6], [3, 4, 5]) : 0.9925329966
118 : ([1, 2, 6], [3], [4, 5]) : 0.9922763392
119 : ([1, 2, 6], [3, 5], [4]) : 0.9923728348
120 : ([1, 2, 6], [3, 4], [5]) : 0.9922279949
121 : ([1, 2, 6], [3], [4], [5]) : 0.9922258235
122 : ([1, 3, 4, 5], [2, 6]) : 0.9927670846
123 : ([1], [2, 6], [3, 4, 5]) : 0.9920412601
124 : ([1, 4, 5], [2, 6], [3]) : 0.9920862127
125 : ([1, 3], [2, 6], [4, 5]) : 0.9918514070
126 : ([1], [2, 6], [3], [4, 5]) : 0.9917134057
127 : ([1, 3, 5], [2, 6], [4]) : 0.9920736843
128 : ([1, 4], [2, 6], [3, 5]) : 0.9919981716
129 : ([1], [2, 6], [3, 5], [4]) : 0.9918308834
130 : ([1, 5], [2, 6], [3, 4]) : 0.9917662122
131 : ([1, 5], [2, 6], [3], [4]) : 0.9917627286
132 : ([1, 3, 4], [2, 6], [5]) : 0.9920139988
133 : ([1], [2, 6], [3, 4], [5]) : 0.9916658505
134 : ([1, 4], [2, 6], [3], [5]) : 0.9918090603
135 : ([1, 3], [2, 6], [4], [5]) : 0.9917930218
136 : ([1], [2, 6], [3], [4], [5]) : 0.9916546523
137 : ([1, 6], [2, 3, 4, 5]) : 0.9928079452
138 : ([1, 6], [2], [3, 4, 5]) : 0.9922134452
139 : ([1, 6], [2, 4, 5], [3]) : 0.9922180497
140 : ([1, 6], [2, 3], [4, 5]) : 0.9920169102
141 : ([1, 6], [2], [3], [4, 5]) : 0.9919532538
142 : ([1, 6], [2, 3, 5], [4]) : 0.9922676597
143 : ([1, 6], [2, 4], [3, 5]) : 0.9922413407
144 : ([1, 6], [2], [3, 5], [4]) : 0.9920317027
145 : ([1, 6], [2, 5], [3, 4]) : 0.9919171675
146 : ([1, 6], [2, 5], [3], [4]) : 0.9918994291
147 : ([1, 6], [2, 3, 4], [5]) : 0.9921584373
148 : ([1, 6], [2], [3, 4], [5]) : 0.9918853574
149 : ([1, 6], [2, 4], [3], [5]) : 0.9920784239
150 : ([1, 6], [2, 3], [4], [5]) : 0.9919369059
151 : ([1, 6], [2], [3], [4], [5]) : 0.9918835731
152 : ([1, 2, 3, 4, 5], [6]) : 0.9936603931
153 : ([1], [2, 3, 4, 5], [6]) : 0.9926255759
154 : ([1, 3, 4, 5], [2], [6]) : 0.9926858118
155 : ([1, 2], [3, 4, 5], [6]) : 0.9920784301
156 : ([1], [2], [3, 4, 5], [6]) : 0.9919474719
157 : ([1, 2, 4, 5], [3], [6]) : 0.9925570611
158 : ([1, 3], [2, 4, 5], [6]) : 0.9920159595
159 : ([1], [2, 4, 5], [3], [6]) : 0.9918937439
