<function model10 at 0x7f8f0da21500>
=== Selected Model: 10 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9974359255
2 : ([1], [2, 3, 4, 5, 6]) : 0.9974903916
3 : ([1, 3, 4, 5, 6], [2]) : 0.9973837748
4 : ([1, 2], [3, 4, 5, 6]) : 0.9975298767
5 : ([1], [2], [3, 4, 5, 6]) : 0.9974971682
6 : ([1, 2, 4, 5, 6], [3]) : 0.9974035173
7 : ([1, 3], [2, 4, 5, 6]) : 0.9975276498
8 : ([1], [2, 4, 5, 6], [3]) : 0.9975170700
9 : ([1, 4, 5, 6], [2, 3]) : 0.9975204530
10 : ([1, 4, 5, 6], [2], [3]) : 0.9974331068
11 : ([1, 2, 3], [4, 5, 6]) : 0.9977550048
12 : ([1], [2, 3], [4, 5, 6]) : 0.9977110388
13 : ([1, 3], [2], [4, 5, 6]) : 0.9976400999
14 : ([1, 2], [3], [4, 5, 6]) : 0.9976565109
15 : ([1], [2], [3], [4, 5, 6]) : 0.9976242579
16 : ([1, 2, 3, 5, 6], [4]) : 0.9912951376
17 : ([1, 4], [2, 3, 5, 6]) : 0.9894616604
18 : ([1], [2, 3, 5, 6], [4]) : 0.9892035008
19 : ([1, 3, 5, 6], [2, 4]) : 0.9906455743
20 : ([1, 3, 5, 6], [2], [4]) : 0.9904979613
21 : ([1, 2, 4], [3, 5, 6]) : 0.9892823939
22 : ([1], [2, 4], [3, 5, 6]) : 0.9889238248
23 : ([1, 4], [2], [3, 5, 6]) : 0.9890571492
24 : ([1, 2], [3, 5, 6], [4]) : 0.9886985965
25 : ([1], [2], [3, 5, 6], [4]) : 0.9886804384
26 : ([1, 2, 5, 6], [3, 4]) : 0.9907413673
27 : ([1, 2, 5, 6], [3], [4]) : 0.9905995609
28 : ([1, 3, 4], [2, 5, 6]) : 0.9891340302
29 : ([1], [2, 5, 6], [3, 4]) : 0.9888387216
30 : ([1, 4], [2, 5, 6], [3]) : 0.9889539939
31 : ([1, 3], [2, 5, 6], [4]) : 0.9887901063
32 : ([1], [2, 5, 6], [3], [4]) : 0.9887419176
33 : ([1, 5, 6], [2, 3, 4]) : 0.9901432091
34 : ([1, 5, 6], [2], [3, 4]) : 0.9899315852
35 : ([1, 5, 6], [2, 4], [3]) : 0.9899298958
36 : ([1, 5, 6], [2, 3], [4]) : 0.9898046192
37 : ([1, 5, 6], [2], [3], [4]) : 0.9897751646
38 : ([1, 2, 3, 4], [5, 6]) : 0.9890453376
39 : ([1], [2, 3, 4], [5, 6]) : 0.9885729296
40 : ([1, 3, 4], [2], [5, 6]) : 0.9887206755
41 : ([1, 2], [3, 4], [5, 6]) : 0.9883074143
42 : ([1], [2], [3, 4], [5, 6]) : 0.9882865018
43 : ([1, 2, 4], [3], [5, 6]) : 0.9887343672
44 : ([1, 3], [2, 4], [5, 6]) : 0.9885004439
45 : ([1], [2, 4], [3], [5, 6]) : 0.9884297395
46 : ([1, 4], [2, 3], [5, 6]) : 0.9885511915
47 : ([1, 4], [2], [3], [5, 6]) : 0.9885103480
48 : ([1, 2, 3], [4], [5, 6]) : 0.9884007603
49 : ([1], [2, 3], [4], [5, 6]) : 0.9882443765
50 : ([1, 3], [2], [4], [5, 6]) : 0.9882887624
51 : ([1, 2], [3], [4], [5, 6]) : 0.9882196052
52 : ([1], [2], [3], [4], [5, 6]) : 0.9881933776
53 : ([1, 2, 3, 4, 6], [5]) : 0.9912925827
54 : ([1, 5], [2, 3, 4, 6]) : 0.9895685707
55 : ([1], [2, 3, 4, 6], [5]) : 0.9892582799
56 : ([1, 3, 4, 6], [2, 5]) : 0.9913007995
57 : ([1, 3, 4, 6], [2], [5]) : 0.9908599131
58 : ([1, 2, 5], [3, 4, 6]) : 0.9900507391
59 : ([1], [2, 5], [3, 4, 6]) : 0.9894336701
60 : ([1, 5], [2], [3, 4, 6]) : 0.9892548522
61 : ([1, 2], [3, 4, 6], [5]) : 0.9889682098
62 : ([1], [2], [3, 4, 6], [5]) : 0.9889269093
63 : ([1, 2, 4, 6], [3, 5]) : 0.9903676701
64 : ([1, 2, 4, 6], [3], [5]) : 0.9903056076
65 : ([1, 3, 5], [2, 4, 6]) : 0.9890876590
66 : ([1], [2, 4, 6], [3, 5]) : 0.9886653239
67 : ([1, 5], [2, 4, 6], [3]) : 0.9889486107
68 : ([1, 3], [2, 4, 6], [5]) : 0.9886052054
69 : ([1], [2, 4, 6], [3], [5]) : 0.9885927940
70 : ([1, 4, 6], [2, 3, 5]) : 0.9905022819
71 : ([1, 4, 6], [2], [3, 5]) : 0.9900371550
72 : ([1, 4, 6], [2, 5], [3]) : 0.9903918511
73 : ([1, 4, 6], [2, 3], [5]) : 0.9900045518
74 : ([1, 4, 6], [2], [3], [5]) : 0.9899611957
75 : ([1, 2, 3, 5], [4, 6]) : 0.9897350069
76 : ([1], [2, 3, 5], [4, 6]) : 0.9889178004
77 : ([1, 3, 5], [2], [4, 6]) : 0.9888271306
78 : ([1, 2], [3, 5], [4, 6]) : 0.9884928950
79 : ([1], [2], [3, 5], [4, 6]) : 0.9884122214
80 : ([1, 2, 5], [3], [4, 6]) : 0.9895086096
81 : ([1, 3], [2, 5], [4, 6]) : 0.9888273051
82 : ([1], [2, 5], [3], [4, 6]) : 0.9888163924
83 : ([1, 5], [2, 3], [4, 6]) : 0.9886869268
84 : ([1, 5], [2], [3], [4, 6]) : 0.9886722389
85 : ([1, 2, 3], [4, 6], [5]) : 0.9884891701
86 : ([1], [2, 3], [4, 6], [5]) : 0.9883535722
87 : ([1, 3], [2], [4, 6], [5]) : 0.9883235538
88 : ([1, 2], [3], [4, 6], [5]) : 0.9884005750
89 : ([1], [2], [3], [4, 6], [5]) : 0.9883213270
90 : ([1, 2, 3, 6], [4, 5]) : 0.9928050704
91 : ([1, 2, 3, 6], [4], [5]) : 0.9893866186
92 : ([1, 4, 5], [2, 3, 6]) : 0.9911902504
93 : ([1], [2, 3, 6], [4, 5]) : 0.9904100061
94 : ([1, 5], [2, 3, 6], [4]) : 0.9875000222
95 : ([1, 4], [2, 3, 6], [5]) : 0.9874942456
96 : ([1], [2, 3, 6], [4], [5]) : 0.9871188056
97 : ([1, 3, 6], [2, 4, 5]) : 0.9926609834
98 : ([1, 3, 6], [2], [4, 5]) : 0.9922723658
99 : ([1, 3, 6], [2, 5], [4]) : 0.9894729875
100 : ([1, 3, 6], [2, 4], [5]) : 0.9891740440
101 : ([1, 3, 6], [2], [4], [5]) : 0.9889130455
102 : ([1, 2, 4, 5], [3, 6]) : 0.9915830615
103 : ([1], [2, 4, 5], [3, 6]) : 0.9906293824
104 : ([1, 4, 5], [2], [3, 6]) : 0.9909629977
105 : ([1, 2], [3, 6], [4, 5]) : 0.9902557727
106 : ([1], [2], [3, 6], [4, 5]) : 0.9901435782
107 : ([1, 2, 5], [3, 6], [4]) : 0.9880796148
108 : ([1, 4], [2, 5], [3, 6]) : 0.9878017654
109 : ([1], [2, 5], [3, 6], [4]) : 0.9874588609
110 : ([1, 5], [2, 4], [3, 6]) : 0.9876672966
111 : ([1, 5], [2], [3, 6], [4]) : 0.9872913285
112 : ([1, 2, 4], [3, 6], [5]) : 0.9877080488
113 : ([1], [2, 4], [3, 6], [5]) : 0.9873075215
114 : ([1, 4], [2], [3, 6], [5]) : 0.9873539788
115 : ([1, 2], [3, 6], [4], [5]) : 0.9869157236
116 : ([1], [2], [3, 6], [4], [5]) : 0.9869049450
117 : ([1, 2, 6], [3, 4, 5]) : 0.9921518732
118 : ([1, 2, 6], [3], [4, 5]) : 0.9919234278
119 : ([1, 2, 6], [3, 5], [4]) : 0.9884994282
120 : ([1, 2, 6], [3, 4], [5]) : 0.9885256789
121 : ([1, 2, 6], [3], [4], [5]) : 0.9884100032
122 : ([1, 3, 4, 5], [2, 6]) : 0.9908595170
123 : ([1], [2, 6], [3, 4, 5]) : 0.9899781938
124 : ([1, 4, 5], [2, 6], [3]) : 0.9905163209
125 : ([1, 3], [2, 6], [4, 5]) : 0.9897531847
126 : ([1], [2, 6], [3], [4, 5]) : 0.9897356887
127 : ([1, 3, 5], [2, 6], [4]) : 0.9870826422
128 : ([1, 4], [2, 6], [3, 5]) : 0.9868348106
129 : ([1], [2, 6], [3, 5], [4]) : 0.9865122065
130 : ([1, 5], [2, 6], [3, 4]) : 0.9869250615
131 : ([1, 5], [2, 6], [3], [4]) : 0.9868441153
132 : ([1, 3, 4], [2, 6], [5]) : 0.9868192281
133 : ([1], [2, 6], [3, 4], [5]) : 0.9864405488
134 : ([1, 4], [2, 6], [3], [5]) : 0.9866824452
135 : ([1, 3], [2, 6], [4], [5]) : 0.9864009934
136 : ([1], [2, 6], [3], [4], [5]) : 0.9863669354
137 : ([1, 6], [2, 3, 4, 5]) : 0.9920728709
138 : ([1, 6], [2], [3, 4, 5]) : 0.9916571797
139 : ([1, 6], [2, 4, 5], [3]) : 0.9918259422
140 : ([1, 6], [2, 3], [4, 5]) : 0.9915504395
141 : ([1, 6], [2], [3], [4, 5]) : 0.9914526611
142 : ([1, 6], [2, 3, 5], [4]) : 0.9887100869
143 : ([1, 6], [2, 4], [3, 5]) : 0.9882982532
144 : ([1, 6], [2], [3, 5], [4]) : 0.9880908784
145 : ([1, 6], [2, 5], [3, 4]) : 0.9886930799
146 : ([1, 6], [2, 5], [3], [4]) : 0.9885730586
147 : ([1, 6], [2, 3, 4], [5]) : 0.9884622153
148 : ([1, 6], [2], [3, 4], [5]) : 0.9881155974
149 : ([1, 6], [2, 4], [3], [5]) : 0.9882360813
150 : ([1, 6], [2, 3], [4], [5]) : 0.9880611855
151 : ([1, 6], [2], [3], [4], [5]) : 0.9879922522
152 : ([1, 2, 3, 4, 5], [6]) : 0.9912515859
153 : ([1], [2, 3, 4, 5], [6]) : 0.9901430503
154 : ([1, 3, 4, 5], [2], [6]) : 0.9906012722
155 : ([1, 2], [3, 4, 5], [6]) : 0.9898920352
156 : ([1], [2], [3, 4, 5], [6]) : 0.9897093303
157 : ([1, 2, 4, 5], [3], [6]) : 0.9909092717
158 : ([1, 3], [2, 4, 5], [6]) : 0.9899529422
159 : ([1], [2, 4, 5], [3], [6]) : 0.9899449933
160 : ([1, 4, 5], [2, 3], [6]) : 0.9902877269
161 : ([1, 4, 5], [2], [3], [6]) : 0.9902652493
162 : ([1, 2, 3], [4, 5], [6]) : 0.9897354864
163 : ([1], [2, 3], [4, 5], [6]) : 0.9895295952
164 : ([1, 3], [2], [4, 5], [6]) : 0.9895096227
165 : ([1, 2], [3], [4, 5], [6]) : 0.9896391251
166 : ([1], [2], [3], [4, 5], [6]) : 0.9894827721
167 : ([1, 2, 3, 5], [4], [6]) : 0.9877530778
168 : ([1, 4], [2, 3, 5], [6]) : 0.9871645058
169 : ([1], [2, 3, 5], [4], [6]) : 0.9868966443
170 : ([1, 3, 5], [2, 4], [6]) : 0.9871215651
171 : ([1, 3, 5], [2], [4], [6]) : 0.9868426026
172 : ([1, 2, 4], [3, 5], [6]) : 0.9869778697
173 : ([1], [2, 4], [3, 5], [6]) : 0.9866240314
174 : ([1, 4], [2], [3, 5], [6]) : 0.9866693723
175 : ([1, 2], [3, 5], [4], [6]) : 0.9863275233
176 : ([1], [2], [3, 5], [4], [6]) : 0.9862988258
177 : ([1, 2, 5], [3, 4], [6]) : 0.9874558578
178 : ([1, 2, 5], [3], [4], [6]) : 0.9874095223
179 : ([1, 3, 4], [2, 5], [6]) : 0.9871019585
180 : ([1], [2, 5], [3, 4], [6]) : 0.9867900624
