<function model3 at 0x7f191a7551b8>
=== Selected Model: 3 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9980861988
2 : ([1], [2, 3, 4, 5, 6]) : 0.9971313174
3 : ([1, 3, 4, 5, 6], [2]) : 0.9956117946
4 : ([1, 2], [3, 4, 5, 6]) : 0.9933304992
5 : ([1], [2], [3, 4, 5, 6]) : 0.9932366815
6 : ([1, 2, 4, 5, 6], [3]) : 0.9949012320
7 : ([1, 3], [2, 4, 5, 6]) : 0.9936401836
8 : ([1], [2, 4, 5, 6], [3]) : 0.9934852234
9 : ([1, 4, 5, 6], [2, 3]) : 0.9917412437
10 : ([1, 4, 5, 6], [2], [3]) : 0.9916768333
11 : ([1, 2, 3], [4, 5, 6]) : 0.9906570994
12 : ([1], [2, 3], [4, 5, 6]) : 0.9901256219
13 : ([1, 3], [2], [4, 5, 6]) : 0.9901764306
14 : ([1, 2], [3], [4, 5, 6]) : 0.9902461385
15 : ([1], [2], [3], [4, 5, 6]) : 0.9900847893
16 : ([1, 2, 3, 5, 6], [4]) : 0.8508142124
17 : ([1, 4], [2, 3, 5, 6]) : 0.7725045869
18 : ([1], [2, 3, 5, 6], [4]) : 0.7662268391
19 : ([1, 3, 5, 6], [2, 4]) : 0.7570474580
20 : ([1, 3, 5, 6], [2], [4]) : 0.7337674840
21 : ([1, 2, 4], [3, 5, 6]) : 0.7492762494
22 : ([1], [2, 4], [3, 5, 6]) : 0.7248521590
23 : ([1, 4], [2], [3, 5, 6]) : 0.7098043367
24 : ([1, 2], [3, 5, 6], [4]) : 0.7139792283
25 : ([1], [2], [3, 5, 6], [4]) : 0.7056058786
26 : ([1, 2, 5, 6], [3, 4]) : 0.7549533473
27 : ([1, 2, 5, 6], [3], [4]) : 0.7505032914
28 : ([1, 3, 4], [2, 5, 6]) : 0.7297407289
29 : ([1], [2, 5, 6], [3, 4]) : 0.7093591329
30 : ([1, 4], [2, 5, 6], [3]) : 0.7092812637
31 : ([1, 3], [2, 5, 6], [4]) : 0.7079276298
32 : ([1], [2, 5, 6], [3], [4]) : 0.7034112265
33 : ([1, 5, 6], [2, 3, 4]) : 0.7435998132
34 : ([1, 5, 6], [2], [3, 4]) : 0.6866072068
35 : ([1, 5, 6], [2, 4], [3]) : 0.7012744522
36 : ([1, 5, 6], [2, 3], [4]) : 0.6808989642
37 : ([1, 5, 6], [2], [3], [4]) : 0.6773418084
38 : ([1, 2, 3, 4], [5, 6]) : 0.7702121830
39 : ([1], [2, 3, 4], [5, 6]) : 0.7324191997
40 : ([1, 3, 4], [2], [5, 6]) : 0.6971931721
41 : ([1, 2], [3, 4], [5, 6]) : 0.6897462789
42 : ([1], [2], [3, 4], [5, 6]) : 0.6775390666
43 : ([1, 2, 4], [3], [5, 6]) : 0.7196613426
44 : ([1, 3], [2, 4], [5, 6]) : 0.6983065568
45 : ([1], [2, 4], [3], [5, 6]) : 0.6927351196
46 : ([1, 4], [2, 3], [5, 6]) : 0.6774902929
47 : ([1, 4], [2], [3], [5, 6]) : 0.6740438837
48 : ([1, 2, 3], [4], [5, 6]) : 0.7058428234
49 : ([1], [2, 3], [4], [5, 6]) : 0.6721384206
