<function model4 at 0x7ff6a2745230>
=== Selected Model: 4 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9967559875
2 : ([1], [2, 3, 4, 5, 6]) : 0.9952520759
3 : ([1, 3, 4, 5, 6], [2]) : 0.9955012294
4 : ([1, 2], [3, 4, 5, 6]) : 0.9945044439
5 : ([1], [2], [3, 4, 5, 6]) : 0.9944373796
6 : ([1, 2, 4, 5, 6], [3]) : 0.9951504502
7 : ([1, 3], [2, 4, 5, 6]) : 0.9944070724
8 : ([1], [2, 4, 5, 6], [3]) : 0.9942780531
9 : ([1, 4, 5, 6], [2, 3]) : 0.9945899058
10 : ([1, 4, 5, 6], [2], [3]) : 0.9945173704
11 : ([1, 2, 3], [4, 5, 6]) : 0.9943247797
12 : ([1], [2, 3], [4, 5, 6]) : 0.9940332611
13 : ([1, 3], [2], [4, 5, 6]) : 0.9940647858
14 : ([1, 2], [3], [4, 5, 6]) : 0.9940721278
15 : ([1], [2], [3], [4, 5, 6]) : 0.9939721466
16 : ([1, 2, 3, 5, 6], [4]) : 0.9894035010
17 : ([1, 4], [2, 3, 5, 6]) : 0.9864069646
18 : ([1], [2, 3, 5, 6], [4]) : 0.9861772265
19 : ([1, 3, 5, 6], [2, 4]) : 0.9842644091
20 : ([1, 3, 5, 6], [2], [4]) : 0.9831024160
21 : ([1, 2, 4], [3, 5, 6]) : 0.9839036799
22 : ([1], [2, 4], [3, 5, 6]) : 0.9825248219
23 : ([1, 4], [2], [3, 5, 6]) : 0.9815460642
24 : ([1, 2], [3, 5, 6], [4]) : 0.9820293549
25 : ([1], [2], [3, 5, 6], [4]) : 0.9813465734
26 : ([1, 2, 5, 6], [3, 4]) : 0.9857164825
27 : ([1, 2, 5, 6], [3], [4]) : 0.9845812667
28 : ([1, 3, 4], [2, 5, 6]) : 0.9840351595
29 : ([1], [2, 5, 6], [3, 4]) : 0.9831664425
30 : ([1, 4], [2, 5, 6], [3]) : 0.9822092524
31 : ([1, 3], [2, 5, 6], [4]) : 0.9822778147
32 : ([1], [2, 5, 6], [3], [4]) : 0.9819703909
33 : ([1, 5, 6], [2, 3, 4]) : 0.9839520352
34 : ([1, 5, 6], [2], [3, 4]) : 0.9819105373
35 : ([1, 5, 6], [2, 4], [3]) : 0.9820633500
36 : ([1, 5, 6], [2, 3], [4]) : 0.9810089605
37 : ([1, 5, 6], [2], [3], [4]) : 0.9807043251
38 : ([1, 2, 3, 4], [5, 6]) : 0.9854592161
39 : ([1], [2, 3, 4], [5, 6]) : 0.9829271053
40 : ([1, 3, 4], [2], [5, 6]) : 0.9815892887
41 : ([1, 2], [3, 4], [5, 6]) : 0.9814352545
42 : ([1], [2], [3, 4], [5, 6]) : 0.9807196214
43 : ([1, 2, 4], [3], [5, 6]) : 0.9827141418
