<function model5 at 0x7fafb52232a8>
=== Selected Model: 5 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9931782527
2 : ([1], [2, 3, 4, 5, 6]) : 0.9898330796
3 : ([1, 3, 4, 5, 6], [2]) : 0.9900398677
4 : ([1, 2], [3, 4, 5, 6]) : 0.9874999809
5 : ([1], [2], [3, 4, 5, 6]) : 0.9873416073
6 : ([1, 2, 4, 5, 6], [3]) : 0.9897753881
7 : ([1, 3], [2, 4, 5, 6]) : 0.9874109307
8 : ([1], [2, 4, 5, 6], [3]) : 0.9872069492
9 : ([1, 4, 5, 6], [2, 3]) : 0.9885987380
10 : ([1, 4, 5, 6], [2], [3]) : 0.9879718167
11 : ([1, 2, 3], [4, 5, 6]) : 0.9876033945
12 : ([1], [2, 3], [4, 5, 6]) : 0.9868143221
13 : ([1, 3], [2], [4, 5, 6]) : 0.9863102980
14 : ([1, 2], [3], [4, 5, 6]) : 0.9863757471
15 : ([1], [2], [3], [4, 5, 6]) : 0.9861462458
16 : ([1, 2, 3, 5, 6], [4]) : 0.9888213845
17 : ([1, 4], [2, 3, 5, 6]) : 0.9866177939
18 : ([1], [2, 3, 5, 6], [4]) : 0.9861510372
19 : ([1, 3, 5, 6], [2, 4]) : 0.9860510325
20 : ([1, 3, 5, 6], [2], [4]) : 0.9857456344
21 : ([1, 2, 4], [3, 5, 6]) : 0.9855086894
22 : ([1], [2, 4], [3, 5, 6]) : 0.9843129552
23 : ([1, 4], [2], [3, 5, 6]) : 0.9843299045
24 : ([1, 2], [3, 5, 6], [4]) : 0.9843510847
25 : ([1], [2], [3, 5, 6], [4]) : 0.9839682722
26 : ([1, 2, 5, 6], [3, 4]) : 0.9859969664
27 : ([1, 2, 5, 6], [3], [4]) : 0.9859012463
28 : ([1, 3, 4], [2, 5, 6]) : 0.9846506282
29 : ([1], [2, 5, 6], [3, 4]) : 0.9838549056
30 : ([1, 4], [2, 5, 6], [3]) : 0.9840340615
31 : ([1, 3], [2, 5, 6], [4]) : 0.9839041536
32 : ([1], [2, 5, 6], [3], [4]) : 0.9836580072
33 : ([1, 5, 6], [2, 3, 4]) : 0.9856937275
