<function model6 at 0x7f2c96675320>
=== Selected Model: 6 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9996038828
2 : ([1], [2, 3, 4, 5, 6]) : 0.9996088022
3 : ([1, 3, 4, 5, 6], [2]) : 0.9997812206
4 : ([1, 2], [3, 4, 5, 6]) : 0.9997434498
5 : ([1], [2], [3, 4, 5, 6]) : 0.9997344599
6 : ([1, 2, 4, 5, 6], [3]) : 0.9997039633
7 : ([1, 3], [2, 4, 5, 6]) : 0.9996629242
8 : ([1], [2, 4, 5, 6], [3]) : 0.9996792925
9 : ([1, 4, 5, 6], [2, 3]) : 0.9998185744
10 : ([1, 4, 5, 6], [2], [3]) : 0.9998048149
11 : ([1, 2, 3], [4, 5, 6]) : 0.9997658892
12 : ([1], [2, 3], [4, 5, 6]) : 0.9997111257
13 : ([1, 3], [2], [4, 5, 6]) : 0.9997445366
14 : ([1, 2], [3], [4, 5, 6]) : 0.9997260844
15 : ([1], [2], [3], [4, 5, 6]) : 0.9997335645
16 : ([1, 2, 3, 5, 6], [4]) : 0.9996248303
17 : ([1, 4], [2, 3, 5, 6]) : 0.9996388827
18 : ([1], [2, 3, 5, 6], [4]) : 0.9995891482
19 : ([1, 3, 5, 6], [2, 4]) : 0.9996939362
20 : ([1, 3, 5, 6], [2], [4]) : 0.9997486061
21 : ([1, 2, 4], [3, 5, 6]) : 0.9996516211
22 : ([1], [2, 4], [3, 5, 6]) : 0.9996478773
23 : ([1, 4], [2], [3, 5, 6]) : 0.9997007775
24 : ([1, 2], [3, 5, 6], [4]) : 0.9996843860
25 : ([1], [2], [3, 5, 6], [4]) : 0.9996440673
26 : ([1, 2, 5, 6], [3, 4]) : 0.9996626425
27 : ([1, 2, 5, 6], [3], [4]) : 0.9996865830
28 : ([1, 3, 4], [2, 5, 6]) : 0.9996446995
29 : ([1], [2, 5, 6], [3, 4]) : 0.9996241846
30 : ([1, 4], [2, 5, 6], [3]) : 0.9996582856
31 : ([1, 3], [2, 5, 6], [4]) : 0.9996243163
32 : ([1], [2, 5, 6], [3], [4]) : 0.9996403180
33 : ([1, 5, 6], [2, 3, 4]) : 0.9997073696
34 : ([1, 5, 6], [2], [3, 4]) : 0.9997245426
35 : ([1, 5, 6], [2, 4], [3]) : 0.9997029645
36 : ([1, 5, 6], [2, 3], [4]) : 0.9997131277
37 : ([1, 5, 6], [2], [3], [4]) : 0.9997470007
38 : ([1, 2, 3, 4], [5, 6]) : 0.9996758698
39 : ([1], [2, 3, 4], [5, 6]) : 0.9996530645
40 : ([1, 3, 4], [2], [5, 6]) : 0.9996975771
41 : ([1, 2], [3, 4], [5, 6]) : 0.9996641913
42 : ([1], [2], [3, 4], [5, 6]) : 0.9996555780
43 : ([1, 2, 4], [3], [5, 6]) : 0.9996764046
44 : ([1, 3], [2, 4], [5, 6]) : 0.9996493961
45 : ([1], [2, 4], [3], [5, 6]) : 0.9996716420
46 : ([1, 4], [2, 3], [5, 6]) : 0.9996939935
47 : ([1, 4], [2], [3], [5, 6]) : 0.9997055318
48 : ([1, 2, 3], [4], [5, 6]) : 0.9997137891
49 : ([1], [2, 3], [4], [5, 6]) : 0.9996073238
50 : ([1, 3], [2], [4], [5, 6]) : 0.9996770197
51 : ([1, 2], [3], [4], [5, 6]) : 0.9996740614
52 : ([1], [2], [3], [4], [5, 6]) : 0.9996733611
53 : ([1, 2, 3, 4, 6], [5]) : 0.9996215509
54 : ([1, 5], [2, 3, 4, 6]) : 0.9996454084
55 : ([1], [2, 3, 4, 6], [5]) : 0.9996129544
56 : ([1, 3, 4, 6], [2, 5]) : 0.9997024437
57 : ([1, 3, 4, 6], [2], [5]) : 0.9997397428
58 : ([1, 2, 5], [3, 4, 6]) : 0.9996669219
59 : ([1], [2, 5], [3, 4, 6]) : 0.9996125354
60 : ([1, 5], [2], [3, 4, 6]) : 0.9996882115
61 : ([1, 2], [3, 4, 6], [5]) : 0.9996948519
62 : ([1], [2], [3, 4, 6], [5]) : 0.9996532002
63 : ([1, 2, 4, 6], [3, 5]) : 0.9996551843
64 : ([1, 2, 4, 6], [3], [5]) : 0.9996865426
65 : ([1, 3, 5], [2, 4, 6]) : 0.9996530535
66 : ([1], [2, 4, 6], [3, 5]) : 0.9996282061
67 : ([1, 5], [2, 4, 6], [3]) : 0.9996692345
68 : ([1, 3], [2, 4, 6], [5]) : 0.9996345509
69 : ([1], [2, 4, 6], [3], [5]) : 0.9996572784
70 : ([1, 4, 6], [2, 3, 5]) : 0.9997091232
71 : ([1, 4, 6], [2], [3, 5]) : 0.9997243995
72 : ([1, 4, 6], [2, 5], [3]) : 0.9996922826
73 : ([1, 4, 6], [2, 3], [5]) : 0.9997544541
74 : ([1, 4, 6], [2], [3], [5]) : 0.9997313407
75 : ([1, 2, 3, 5], [4, 6]) : 0.9997014773
76 : ([1], [2, 3, 5], [4, 6]) : 0.9995884994
77 : ([1, 3, 5], [2], [4, 6]) : 0.9996979638
78 : ([1, 2], [3, 5], [4, 6]) : 0.9996516715
79 : ([1], [2], [3, 5], [4, 6]) : 0.9996489118
80 : ([1, 2, 5], [3], [4, 6]) : 0.9996720756
81 : ([1, 3], [2, 5], [4, 6]) : 0.9996303577
82 : ([1], [2, 5], [3], [4, 6]) : 0.9996499066
83 : ([1, 5], [2, 3], [4, 6]) : 0.9996800376
84 : ([1, 5], [2], [3], [4, 6]) : 0.9997154584
85 : ([1, 2, 3], [4, 6], [5]) : 0.9997077813
86 : ([1], [2, 3], [4, 6], [5]) : 0.9996135706
87 : ([1, 3], [2], [4, 6], [5]) : 0.9996769345
88 : ([1, 2], [3], [4, 6], [5]) : 0.9996793304
89 : ([1], [2], [3], [4, 6], [5]) : 0.9996794366
90 : ([1, 2, 3, 6], [4, 5]) : 0.9996803829
91 : ([1, 2, 3, 6], [4], [5]) : 0.9996584047
92 : ([1, 4, 5], [2, 3, 6]) : 0.9997106834
93 : ([1], [2, 3, 6], [4, 5]) : 0.9996263693
94 : ([1, 5], [2, 3, 6], [4]) : 0.9996126479
95 : ([1, 4], [2, 3, 6], [5]) : 0.9996423544
96 : ([1], [2, 3, 6], [4], [5]) : 0.9995989020
97 : ([1, 3, 6], [2, 4, 5]) : 0.9996622185
98 : ([1, 3, 6], [2], [4, 5]) : 0.9997261878
99 : ([1, 3, 6], [2, 5], [4]) : 0.9996350429
100 : ([1, 3, 6], [2, 4], [5]) : 0.9996362163
101 : ([1, 3, 6], [2], [4], [5]) : 0.9996860889
102 : ([1, 2, 4, 5], [3, 6]) : 0.9996383115
103 : ([1], [2, 4, 5], [3, 6]) : 0.9996348483
104 : ([1, 4, 5], [2], [3, 6]) : 0.9997289719
105 : ([1, 2], [3, 6], [4, 5]) : 0.9996768828
106 : ([1], [2], [3, 6], [4, 5]) : 0.9996503144
107 : ([1, 2, 5], [3, 6], [4]) : 0.9996369836
108 : ([1, 4], [2, 5], [3, 6]) : 0.9996206614
109 : ([1], [2, 5], [3, 6], [4]) : 0.9996068308
110 : ([1, 5], [2, 4], [3, 6]) : 0.9996388963
111 : ([1, 5], [2], [3, 6], [4]) : 0.9996731461
112 : ([1, 2, 4], [3, 6], [5]) : 0.9996320818
113 : ([1], [2, 4], [3, 6], [5]) : 0.9996251508
114 : ([1, 4], [2], [3, 6], [5]) : 0.9996702209
115 : ([1, 2], [3, 6], [4], [5]) : 0.9996476335
116 : ([1], [2], [3, 6], [4], [5]) : 0.9996288269
117 : ([1, 2, 6], [3, 4, 5]) : 0.9996629789
118 : ([1, 2, 6], [3], [4, 5]) : 0.9996831836
119 : ([1, 2, 6], [3, 5], [4]) : 0.9996304886
120 : ([1, 2, 6], [3, 4], [5]) : 0.9996436753
121 : ([1, 2, 6], [3], [4], [5]) : 0.9996539767
122 : ([1, 3, 4, 5], [2, 6]) : 0.9996873691
123 : ([1], [2, 6], [3, 4, 5]) : 0.9996313593
124 : ([1, 4, 5], [2, 6], [3]) : 0.9996870597
125 : ([1, 3], [2, 6], [4, 5]) : 0.9996527744
126 : ([1], [2, 6], [3], [4, 5]) : 0.9996589923
127 : ([1, 3, 5], [2, 6], [4]) : 0.9996459605
128 : ([1, 4], [2, 6], [3, 5]) : 0.9996306298
129 : ([1], [2, 6], [3, 5], [4]) : 0.9996087719
130 : ([1, 5], [2, 6], [3, 4]) : 0.9996353862
