<function model7 at 0x7f39d08c8398>
=== Selected Model: 7 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9943871171
2 : ([1], [2, 3, 4, 5, 6]) : 0.9871798912
3 : ([1, 3, 4, 5, 6], [2]) : 0.9316402546
4 : ([1, 2], [3, 4, 5, 6]) : 0.9118093267
5 : ([1], [2], [3, 4, 5, 6]) : 0.9081795631
6 : ([1, 2, 4, 5, 6], [3]) : 0.9374440722
7 : ([1, 3], [2, 4, 5, 6]) : 0.9248528061
8 : ([1], [2, 4, 5, 6], [3]) : 0.9224935861
9 : ([1, 4, 5, 6], [2, 3]) : 0.9139151439
10 : ([1, 4, 5, 6], [2], [3]) : 0.8850300142
11 : ([1, 2, 3], [4, 5, 6]) : 0.9147502220
12 : ([1], [2, 3], [4, 5, 6]) : 0.9068323870
13 : ([1, 3], [2], [4, 5, 6]) : 0.8777118586
14 : ([1, 2], [3], [4, 5, 6]) : 0.8776473201
15 : ([1], [2], [3], [4, 5, 6]) : 0.8737470497
16 : ([1, 2, 3, 5, 6], [4]) : 0.9615275976
17 : ([1, 4], [2, 3, 5, 6]) : 0.9490472571
18 : ([1], [2, 3, 5, 6], [4]) : 0.9474003400
19 : ([1, 3, 5, 6], [2, 4]) : 0.9089467571
20 : ([1, 3, 5, 6], [2], [4]) : 0.8928194797
21 : ([1, 2, 4], [3, 5, 6]) : 0.9007632189
22 : ([1], [2, 4], [3, 5, 6]) : 0.8938392653
23 : ([1, 4], [2], [3, 5, 6]) : 0.8799655373
24 : ([1, 2], [3, 5, 6], [4]) : 0.8808103048
25 : ([1], [2], [3, 5, 6], [4]) : 0.8777425665
26 : ([1, 2, 5, 6], [3, 4]) : 0.9114491680
27 : ([1, 2, 5, 6], [3], [4]) : 0.9009678914
28 : ([1, 3, 4], [2, 5, 6]) : 0.9013689890
29 : ([1], [2, 5, 6], [3, 4]) : 0.8965496042
30 : ([1, 4], [2, 5, 6], [3]) : 0.8877304850
31 : ([1, 3], [2, 5, 6], [4]) : 0.8878499556
32 : ([1], [2, 5, 6], [3], [4]) : 0.8856819120
33 : ([1, 5, 6], [2, 3, 4]) : 0.9226951996
34 : ([1, 5, 6], [2], [3, 4]) : 0.8681106120
35 : ([1, 5, 6], [2, 4], [3]) : 0.8747547016
36 : ([1, 5, 6], [2, 3], [4]) : 0.8911239878
37 : ([1, 5, 6], [2], [3], [4]) : 0.8574860988
38 : ([1, 2, 3, 4], [5, 6]) : 0.9293592976
39 : ([1], [2, 3, 4], [5, 6]) : 0.9188116027
40 : ([1, 3, 4], [2], [5, 6]) : 0.8687848762
41 : ([1, 2], [3, 4], [5, 6]) : 0.8650196432
42 : ([1], [2], [3, 4], [5, 6]) : 0.8620176903
43 : ([1, 2, 4], [3], [5, 6]) : 0.8771854449
44 : ([1, 3], [2, 4], [5, 6]) : 0.8722942600
45 : ([1], [2, 4], [3], [5, 6]) : 0.8691830999
46 : ([1, 4], [2, 3], [5, 6]) : 0.8878910657
47 : ([1, 4], [2], [3], [5, 6]) : 0.8541235170
48 : ([1, 2, 3], [4], [5, 6]) : 0.8958303097
49 : ([1], [2, 3], [4], [5, 6]) : 0.8873071982
50 : ([1, 3], [2], [4], [5, 6]) : 0.8548964084
51 : ([1, 2], [3], [4], [5, 6]) : 0.8553038538
52 : ([1], [2], [3], [4], [5, 6]) : 0.8518397073
53 : ([1, 2, 3, 4, 6], [5]) : 0.9423776835
54 : ([1, 5], [2, 3, 4, 6]) : 0.9303594588
55 : ([1], [2, 3, 4, 6], [5]) : 0.9286597405
56 : ([1, 3, 4, 6], [2, 5]) : 0.9074019274
57 : ([1, 3, 4, 6], [2], [5]) : 0.8825964726
58 : ([1, 2, 5], [3, 4, 6]) : 0.9065228680
59 : ([1], [2, 5], [3, 4, 6]) : 0.8965952268
60 : ([1, 5], [2], [3, 4, 6]) : 0.8698483172
61 : ([1, 2], [3, 4, 6], [5]) : 0.8712059970
62 : ([1], [2], [3, 4, 6], [5]) : 0.8683265777
63 : ([1, 2, 4, 6], [3, 5]) : 0.9044680820
64 : ([1, 2, 4, 6], [3], [5]) : 0.8848044412
65 : ([1, 3, 5], [2, 4, 6]) : 0.9008271461
66 : ([1], [2, 4, 6], [3, 5]) : 0.8917671134
67 : ([1, 5], [2, 4, 6], [3]) : 0.8738832564
68 : ([1, 3], [2, 4, 6], [5]) : 0.8748496922
69 : ([1], [2, 4, 6], [3], [5]) : 0.8718824195
70 : ([1, 4, 6], [2, 3, 5]) : 0.9449794782
71 : ([1, 4, 6], [2], [3, 5]) : 0.8796975777
72 : ([1, 4, 6], [2, 5], [3]) : 0.8868194444
73 : ([1, 4, 6], [2, 3], [5]) : 0.8909283979
74 : ([1, 4, 6], [2], [3], [5]) : 0.8588534602
75 : ([1, 2, 3, 5], [4, 6]) : 0.9544832270
76 : ([1], [2, 3, 5], [4, 6]) : 0.9408749267
77 : ([1, 3, 5], [2], [4, 6]) : 0.8812082646
78 : ([1, 2], [3, 5], [4, 6]) : 0.8774507167
79 : ([1], [2], [3, 5], [4, 6]) : 0.8728924003
80 : ([1, 2, 5], [3], [4, 6]) : 0.8917779020
81 : ([1, 3], [2, 5], [4, 6]) : 0.8829718463
82 : ([1], [2, 5], [3], [4, 6]) : 0.8807519474
