<function model9 at 0x7f7ab753a488>
=== Selected Model: 9 ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9794199130
2 : ([1], [2, 3, 4, 5, 6]) : 0.9786514561
3 : ([1, 3, 4, 5, 6], [2]) : 0.9735436074
4 : ([1, 2], [3, 4, 5, 6]) : 0.9732762556
5 : ([1], [2], [3, 4, 5, 6]) : 0.9726285264
6 : ([1, 2, 4, 5, 6], [3]) : 0.9751108378
7 : ([1, 3], [2, 4, 5, 6]) : 0.9738423131
8 : ([1], [2, 4, 5, 6], [3]) : 0.9737217155
9 : ([1, 4, 5, 6], [2, 3]) : 0.9787142426
10 : ([1, 4, 5, 6], [2], [3]) : 0.9733641624
11 : ([1, 2, 3], [4, 5, 6]) : 0.9786918185
12 : ([1], [2, 3], [4, 5, 6]) : 0.9784447366
13 : ([1, 3], [2], [4, 5, 6]) : 0.9727230338
14 : ([1, 2], [3], [4, 5, 6]) : 0.9733543379
15 : ([1], [2], [3], [4, 5, 6]) : 0.9727072604
16 : ([1, 2, 3, 5, 6], [4]) : 0.9789629290
17 : ([1, 4], [2, 3, 5, 6]) : 0.9783230308
18 : ([1], [2, 3, 5, 6], [4]) : 0.9783149026
19 : ([1, 3, 5, 6], [2, 4]) : 0.9728317278
20 : ([1, 3, 5, 6], [2], [4]) : 0.9726433711
21 : ([1, 2, 4], [3, 5, 6]) : 0.9734841226
22 : ([1], [2, 4], [3, 5, 6]) : 0.9723370317
23 : ([1, 4], [2], [3, 5, 6]) : 0.9724349076
24 : ([1, 2], [3, 5, 6], [4]) : 0.9727345658
25 : ([1], [2], [3, 5, 6], [4]) : 0.9721411840
26 : ([1, 2, 5, 6], [3, 4]) : 0.9741770503
27 : ([1, 2, 5, 6], [3], [4]) : 0.9742484767
28 : ([1, 3, 4], [2, 5, 6]) : 0.9733243498
29 : ([1], [2, 5, 6], [3, 4]) : 0.9730615670
30 : ([1, 4], [2, 5, 6], [3]) : 0.9732748599
31 : ([1, 3], [2, 5, 6], [4]) : 0.9731821390
32 : ([1], [2, 5, 6], [3], [4]) : 0.9731114401
33 : ([1, 5, 6], [2, 3, 4]) : 0.9784630281
