=== Selected Model: 7 ===
=== Kernel: Laplace (0.5) ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9998374606
2 : ([1], [2, 3, 4, 5, 6]) : 0.9997306347
3 : ([1, 3, 4, 5, 6], [2]) : 0.9995988570
4 : ([1, 2], [3, 4, 5, 6]) : 0.9994028083
5 : ([1], [2], [3, 4, 5, 6]) : 0.9993581491
6 : ([1, 2, 4, 5, 6], [3]) : 0.9995566843
7 : ([1, 3], [2, 4, 5, 6]) : 0.9994340452
8 : ([1], [2, 4, 5, 6], [3]) : 0.9993642057
9 : ([1, 4, 5, 6], [2, 3]) : 0.9994060620
10 : ([1, 4, 5, 6], [2], [3]) : 0.9993097177
11 : ([1, 2, 3], [4, 5, 6]) : 0.9992905125
12 : ([1], [2, 3], [4, 5, 6]) : 0.9989860028
13 : ([1, 3], [2], [4, 5, 6]) : 0.9990332961
14 : ([1, 2], [3], [4, 5, 6]) : 0.9989224174
15 : ([1], [2], [3], [4, 5, 6]) : 0.9988172018
16 : ([1, 2, 3, 5, 6], [4]) : 0.9996703571
17 : ([1, 4], [2, 3, 5, 6]) : 0.9995682785
18 : ([1], [2, 3, 5, 6], [4]) : 0.9994857808
19 : ([1, 3, 5, 6], [2, 4]) : 0.9994498706
20 : ([1, 3, 5, 6], [2], [4]) : 0.9994087947
21 : ([1, 2, 4], [3, 5, 6]) : 0.9993748645
22 : ([1], [2, 4], [3, 5, 6]) : 0.9990750701
23 : ([1, 4], [2], [3, 5, 6]) : 0.9991939574
24 : ([1, 2], [3, 5, 6], [4]) : 0.9991407383
25 : ([1], [2], [3, 5, 6], [4]) : 0.9989815185
26 : ([1, 2, 5, 6], [3, 4]) : 0.9993386124
27 : ([1, 2, 5, 6], [3], [4]) : 0.9992291286
28 : ([1, 3, 4], [2, 5, 6]) : 0.9993551573
29 : ([1], [2, 5, 6], [3, 4]) : 0.9990062022
30 : ([1, 4], [2, 5, 6], [3]) : 0.9990844121
31 : ([1, 3], [2, 5, 6], [4]) : 0.9990260086
32 : ([1], [2, 5, 6], [3], [4]) : 0.9987703520
33 : ([1, 5, 6], [2, 3, 4]) : 0.9993299030
34 : ([1, 5, 6], [2], [3, 4]) : 0.9989578300
35 : ([1, 5, 6], [2, 4], [3]) : 0.9989561272
36 : ([1, 5, 6], [2, 3], [4]) : 0.9989904448
37 : ([1, 5, 6], [2], [3], [4]) : 0.9986825800
38 : ([1, 2, 3, 4], [5, 6]) : 0.9993748886
39 : ([1], [2, 3, 4], [5, 6]) : 0.9989783092
40 : ([1, 3, 4], [2], [5, 6]) : 0.9990128521
41 : ([1, 2], [3, 4], [5, 6]) : 0.9985005154
42 : ([1], [2], [3, 4], [5, 6]) : 0.9981408447
43 : ([1, 2, 4], [3], [5, 6]) : 0.9988742920
44 : ([1, 3], [2, 4], [5, 6]) : 0.9985087328
45 : ([1], [2, 4], [3], [5, 6]) : 0.9979043524
46 : ([1, 4], [2, 3], [5, 6]) : 0.9986091700
47 : ([1, 4], [2], [3], [5, 6]) : 0.9981514638
48 : ([1, 2, 3], [4], [5, 6]) : 0.9989724594
49 : ([1], [2, 3], [4], [5, 6]) : 0.9981141653
50 : ([1, 3], [2], [4], [5, 6]) : 0.9982708806
51 : ([1, 2], [3], [4], [5, 6]) : 0.9979455742
52 : ([1], [2], [3], [4], [5, 6]) : 0.9972646880
53 : ([1, 2, 3, 4, 6], [5]) : 0.9995174052
54 : ([1, 5], [2, 3, 4, 6]) : 0.9993218247
55 : ([1], [2, 3, 4, 6], [5]) : 0.9992462961
56 : ([1, 3, 4, 6], [2, 5]) : 0.9994375290
57 : ([1, 3, 4, 6], [2], [5]) : 0.9993621233
58 : ([1, 2, 5], [3, 4, 6]) : 0.9992475768
59 : ([1], [2, 5], [3, 4, 6]) : 0.9989457344
60 : ([1, 5], [2], [3, 4, 6]) : 0.9989206394
61 : ([1, 2], [3, 4, 6], [5]) : 0.9988981515
62 : ([1], [2], [3, 4, 6], [5]) : 0.9987513774
63 : ([1, 2, 4, 6], [3, 5]) : 0.9993516038
64 : ([1, 2, 4, 6], [3], [5]) : 0.9991361784
65 : ([1, 3, 5], [2, 4, 6]) : 0.9992763254
66 : ([1], [2, 4, 6], [3, 5]) : 0.9989630820
67 : ([1, 5], [2, 4, 6], [3]) : 0.9988602775
68 : ([1, 3], [2, 4, 6], [5]) : 0.9989002612
69 : ([1], [2, 4, 6], [3], [5]) : 0.9985228616
70 : ([1, 4, 6], [2, 3, 5]) : 0.9994035301
71 : ([1, 4, 6], [2], [3, 5]) : 0.9991486504
72 : ([1, 4, 6], [2, 5], [3]) : 0.9989316909
73 : ([1, 4, 6], [2, 3], [5]) : 0.9989764886
74 : ([1, 4, 6], [2], [3], [5]) : 0.9987807305
75 : ([1, 2, 3, 5], [4, 6]) : 0.9995092131
76 : ([1], [2, 3, 5], [4, 6]) : 0.9990209377
77 : ([1, 3, 5], [2], [4, 6]) : 0.9990275622
78 : ([1, 2], [3, 5], [4, 6]) : 0.9987820487
79 : ([1], [2], [3, 5], [4, 6]) : 0.9983004680
80 : ([1, 2, 5], [3], [4, 6]) : 0.9989127870
81 : ([1, 3], [2, 5], [4, 6]) : 0.9986594351
82 : ([1], [2, 5], [3], [4, 6]) : 0.9979412558
83 : ([1, 5], [2, 3], [4, 6]) : 0.9986104338
84 : ([1, 5], [2], [3], [4, 6]) : 0.9981561387
85 : ([1, 2, 3], [4, 6], [5]) : 0.9989534562
86 : ([1], [2, 3], [4, 6], [5]) : 0.9981841834
87 : ([1, 3], [2], [4, 6], [5]) : 0.9983437148
88 : ([1, 2], [3], [4, 6], [5]) : 0.9980636594
89 : ([1], [2], [3], [4, 6], [5]) : 0.9973604871
90 : ([1, 2, 3, 6], [4, 5]) : 0.9993807792
91 : ([1, 2, 3, 6], [4], [5]) : 0.9992861966
92 : ([1, 4, 5], [2, 3, 6]) : 0.9992900410
93 : ([1], [2, 3, 6], [4, 5]) : 0.9989428192
94 : ([1, 5], [2, 3, 6], [4]) : 0.9989023909
95 : ([1, 4], [2, 3, 6], [5]) : 0.9989054799
96 : ([1], [2, 3, 6], [4], [5]) : 0.9986422959
97 : ([1, 3, 6], [2, 4, 5]) : 0.9993497251
98 : ([1, 3, 6], [2], [4, 5]) : 0.9990651580
99 : ([1, 3, 6], [2, 5], [4]) : 0.9989908385
100 : ([1, 3, 6], [2, 4], [5]) : 0.9989094008
101 : ([1, 3, 6], [2], [4], [5]) : 0.9987877171
102 : ([1, 2, 4, 5], [3, 6]) : 0.9994311447
103 : ([1], [2, 4, 5], [3, 6]) : 0.9990292410
104 : ([1, 4, 5], [2], [3, 6]) : 0.9990338065
105 : ([1, 2], [3, 6], [4, 5]) : 0.9985392524
106 : ([1], [2], [3, 6], [4, 5]) : 0.9982301968
107 : ([1, 2, 5], [3, 6], [4]) : 0.9988568357
108 : ([1, 4], [2, 5], [3, 6]) : 0.9985606835
109 : ([1], [2, 5], [3, 6], [4]) : 0.9980202997
110 : ([1, 5], [2, 4], [3, 6]) : 0.9984428889
111 : ([1, 5], [2], [3, 6], [4]) : 0.9981162909
112 : ([1, 2, 4], [3, 6], [5]) : 0.9989200183
113 : ([1], [2, 4], [3, 6], [5]) : 0.9979493753
114 : ([1, 4], [2], [3, 6], [5]) : 0.9982052371
115 : ([1, 2], [3, 6], [4], [5]) : 0.9980052502
116 : ([1], [2], [3, 6], [4], [5]) : 0.9973091397
117 : ([1, 2, 6], [3, 4, 5]) : 0.9992866158
118 : ([1, 2, 6], [3], [4, 5]) : 0.9988431333
119 : ([1, 2, 6], [3, 5], [4]) : 0.9989776769
120 : ([1, 2, 6], [3, 4], [5]) : 0.9988099156
121 : ([1, 2, 6], [3], [4], [5]) : 0.9985051473
122 : ([1, 3, 4, 5], [2, 6]) : 0.9994450290
123 : ([1], [2, 6], [3, 4, 5]) : 0.9990374934
124 : ([1, 4, 5], [2, 6], [3]) : 0.9989556680
125 : ([1, 3], [2, 6], [4, 5]) : 0.9986547174
126 : ([1], [2, 6], [3], [4, 5]) : 0.9980395856
127 : ([1, 3, 5], [2, 6], [4]) : 0.9990157287
128 : ([1, 4], [2, 6], [3, 5]) : 0.9987946674
129 : ([1], [2, 6], [3, 5], [4]) : 0.9982887850
130 : ([1, 5], [2, 6], [3, 4]) : 0.9984971654
131 : ([1, 5], [2, 6], [3], [4]) : 0.9979401962
132 : ([1, 3, 4], [2, 6], [5]) : 0.9989894171
133 : ([1], [2, 6], [3, 4], [5]) : 0.9980683584
134 : ([1, 4], [2, 6], [3], [5]) : 0.9980350547
135 : ([1, 3], [2, 6], [4], [5]) : 0.9981628917
136 : ([1], [2, 6], [3], [4], [5]) : 0.9970901369
137 : ([1, 6], [2, 3, 4, 5]) : 0.9995851753
138 : ([1, 6], [2], [3, 4, 5]) : 0.9990672103
139 : ([1, 6], [2, 4, 5], [3]) : 0.9989855621
140 : ([1, 6], [2, 3], [4, 5]) : 0.9985862607
141 : ([1, 6], [2], [3], [4, 5]) : 0.9981959385
142 : ([1, 6], [2, 3, 5], [4]) : 0.9990030230
143 : ([1, 6], [2, 4], [3, 5]) : 0.9986472199
144 : ([1, 6], [2], [3, 5], [4]) : 0.9983092509
145 : ([1, 6], [2, 5], [3, 4]) : 0.9984584789
146 : ([1, 6], [2, 5], [3], [4]) : 0.9978963852
147 : ([1, 6], [2, 3, 4], [5]) : 0.9989909982
148 : ([1, 6], [2], [3, 4], [5]) : 0.9981452350
149 : ([1, 6], [2, 4], [3], [5]) : 0.9980374791
150 : ([1, 6], [2, 3], [4], [5]) : 0.9981001637
151 : ([1, 6], [2], [3], [4], [5]) : 0.9973842864
152 : ([1, 2, 3, 4, 5], [6]) : 0.9997525475
153 : ([1], [2, 3, 4, 5], [6]) : 0.9995635144
154 : ([1, 3, 4, 5], [2], [6]) : 0.9994080332
155 : ([1, 2], [3, 4, 5], [6]) : 0.9991063941
156 : ([1], [2], [3, 4, 5], [6]) : 0.9988847623
157 : ([1, 2, 4, 5], [3], [6]) : 0.9993660061
158 : ([1, 3], [2, 4, 5], [6]) : 0.9990897493
159 : ([1], [2, 4, 5], [3], [6]) : 0.9987905675
160 : ([1, 4, 5], [2, 3], [6]) : 0.9990581667
161 : ([1, 4, 5], [2], [3], [6]) : 0.9988236893
162 : ([1, 2, 3], [4, 5], [6]) : 0.9989980756
163 : ([1], [2, 3], [4, 5], [6]) : 0.9982127468
164 : ([1, 3], [2], [4, 5], [6]) : 0.9983764579
165 : ([1, 2], [3], [4, 5], [6]) : 0.9981135242
166 : ([1], [2], [3], [4, 5], [6]) : 0.9976232055
167 : ([1, 2, 3, 5], [4], [6]) : 0.9994565082
168 : ([1, 4], [2, 3, 5], [6]) : 0.9990960180
169 : ([1], [2, 3, 5], [4], [6]) : 0.9987139742
170 : ([1, 3, 5], [2, 4], [6]) : 0.9990141191
171 : ([1, 3, 5], [2], [4], [6]) : 0.9988115475
172 : ([1, 2, 4], [3, 5], [6]) : 0.9990529093
173 : ([1], [2, 4], [3, 5], [6]) : 0.9982981230
174 : ([1, 4], [2], [3, 5], [6]) : 0.9984147462
175 : ([1, 2], [3, 5], [4], [6]) : 0.9984276732
176 : ([1], [2], [3, 5], [4], [6]) : 0.9976098869
177 : ([1, 2, 5], [3, 4], [6]) : 0.9988750068
178 : ([1, 2, 5], [3], [4], [6]) : 0.9985491864
179 : ([1, 3, 4], [2, 5], [6]) : 0.9990382584
180 : ([1], [2, 5], [3, 4], [6]) : 0.9979847593
181 : ([1, 4], [2, 5], [3], [6]) : 0.9980544171
182 : ([1, 3], [2, 5], [4], [6]) : 0.9981373635
183 : ([1], [2, 5], [3], [4], [6]) : 0.9971010207
184 : ([1, 5], [2, 3, 4], [6]) : 0.9990037513
