kernel: {'slope': 1.0, 'intercept': 0.0, 'name': 'polynomial', 'degree': 2, 'fn': <function <lambda> at 0x7f7f617e9230>}
=== Kernel: Polynomial (intercept: 0, slope: 1, degree: 2) ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.8293852797
2 : ([1], [2, 3, 4, 5, 6]) : 0.6483980873
3 : ([1, 3, 4, 5, 6], [2]) : 0.6120571403
4 : ([1, 2], [3, 4, 5, 6]) : 0.6304981804
5 : ([1], [2], [3, 4, 5, 6]) : 0.5230808781
6 : ([1, 2, 4, 5, 6], [3]) : 0.6349278621
7 : ([1, 3], [2, 4, 5, 6]) : 0.6012908377
8 : ([1], [2, 4, 5, 6], [3]) : 0.5213782700
9 : ([1, 4, 5, 6], [2, 3]) : 0.6462761935
10 : ([1, 4, 5, 6], [2], [3]) : 0.5260063581
11 : ([1, 2, 3], [4, 5, 6]) : 0.8253269883
12 : ([1], [2, 3], [4, 5, 6]) : 0.6421369560
13 : ([1, 3], [2], [4, 5, 6]) : 0.6002098127
14 : ([1, 2], [3], [4, 5, 6]) : 0.6287316674
15 : ([1], [2], [3], [4, 5, 6]) : 0.5189605356
16 : ([1, 2, 3, 5, 6], [4]) : 0.6388557340
17 : ([1, 4], [2, 3, 5, 6]) : 0.4619243269
18 : ([1], [2, 3, 5, 6], [4]) : 0.4495226405
19 : ([1, 3, 5, 6], [2, 4]) : 0.4219814983
20 : ([1, 3, 5, 6], [2], [4]) : 0.4218280339
21 : ([1, 2, 4], [3, 5, 6]) : 0.4649664479
22 : ([1], [2, 4], [3, 5, 6]) : 0.3339038906
23 : ([1, 4], [2], [3, 5, 6]) : 0.3492304991
24 : ([1, 2], [3, 5, 6], [4]) : 0.4567570548
25 : ([1], [2], [3, 5, 6], [4]) : 0.3332001555
26 : ([1, 2, 5, 6], [3, 4]) : 0.4562705315
27 : ([1, 2, 5, 6], [3], [4]) : 0.4540407374
28 : ([1, 3, 4], [2, 5, 6]) : 0.4176762933
29 : ([1], [2, 5, 6], [3, 4]) : 0.3287472566
30 : ([1, 4], [2, 5, 6], [3]) : 0.3435890424
31 : ([1, 3], [2, 5, 6], [4]) : 0.3989482575
32 : ([1], [2, 5, 6], [3], [4]) : 0.3280723792
33 : ([1, 5, 6], [2, 3, 4]) : 0.4506676932
34 : ([1, 5, 6], [2], [3, 4]) : 0.3372523035
35 : ([1, 5, 6], [2, 4], [3]) : 0.3369930584
36 : ([1, 5, 6], [2, 3], [4]) : 0.4490117352
37 : ([1, 5, 6], [2], [3], [4]) : 0.3363199440
38 : ([1, 2, 3, 4], [5, 6]) : 0.6399510335
39 : ([1], [2, 3, 4], [5, 6]) : 0.4413989375
