###################################
# Exhaustive OKGT fitting
# Start time: 2016-02-04 23:00:14
# Selected model: 3
# Kernel: Gaussian (0.5)
# Training method: vanilla
# Sample size: 500
###################################
1 : ([1, 2, 3, 4, 5, 6],) : 0.9997381861
2 : ([1], [2, 3, 4, 5, 6]) : 0.9989828925
3 : ([1, 3, 4, 5, 6], [2]) : 0.9989999709
4 : ([1, 2], [3, 4, 5, 6]) : 0.9987114300
5 : ([1], [2], [3, 4, 5, 6]) : 0.9985055387
6 : ([1, 2, 4, 5, 6], [3]) : 0.9990178260
7 : ([1, 3], [2, 4, 5, 6]) : 0.9984061111
8 : ([1], [2, 4, 5, 6], [3]) : 0.9985251941
9 : ([1, 4, 5, 6], [2, 3]) : 0.9983650822
10 : ([1, 4, 5, 6], [2], [3]) : 0.9984113426
11 : ([1, 2, 3], [4, 5, 6]) : 0.9994908468
12 : ([1], [2, 3], [4, 5, 6]) : 0.9959445558
13 : ([1, 3], [2], [4, 5, 6]) : 0.9944644023
14 : ([1, 2], [3], [4, 5, 6]) : 0.9987516601
15 : ([1], [2], [3], [4, 5, 6]) : 0.9921254912
16 : ([1, 2, 3, 5, 6], [4]) : 0.9996006509
17 : ([1, 4], [2, 3, 5, 6]) : 0.9983067735
18 : ([1], [2, 3, 5, 6], [4]) : 0.9983094096
19 : ([1, 3, 5, 6], [2, 4]) : 0.9982824226
20 : ([1, 3, 5, 6], [2], [4]) : 0.9983710398
21 : ([1, 2, 4], [3, 5, 6]) : 0.9989142448
22 : ([1], [2, 4], [3, 5, 6]) : 0.9951273327
23 : ([1, 4], [2], [3, 5, 6]) : 0.9952585805
24 : ([1, 2], [3, 5, 6], [4]) : 0.9987963567
25 : ([1], [2], [3, 5, 6], [4]) : 0.9952923306
26 : ([1, 2, 5, 6], [3, 4]) : 0.9989502544
27 : ([1, 2, 5, 6], [3], [4]) : 0.9989599413
28 : ([1, 3, 4], [2, 5, 6]) : 0.9977134169
29 : ([1], [2, 5, 6], [3, 4]) : 0.9971670809
30 : ([1, 4], [2, 5, 6], [3]) : 0.9970451223
31 : ([1, 3], [2, 5, 6], [4]) : 0.9970557273
32 : ([1], [2, 5, 6], [3], [4]) : 0.9971546549
33 : ([1, 5, 6], [2, 3, 4]) : 0.9977475992
34 : ([1, 5, 6], [2], [3, 4]) : 0.9952917660
35 : ([1, 5, 6], [2, 4], [3]) : 0.9957453156
36 : ([1, 5, 6], [2, 3], [4]) : 0.9957341881
37 : ([1, 5, 6], [2], [3], [4]) : 0.9948582743
38 : ([1, 2, 3, 4], [5, 6]) : 0.9995017487
39 : ([1], [2, 3, 4], [5, 6]) : 0.9980084313
40 : ([1, 3, 4], [2], [5, 6]) : 0.9976641267
41 : ([1, 2], [3, 4], [5, 6]) : 0.9987747476
42 : ([1], [2], [3, 4], [5, 6]) : 0.9861402464
43 : ([1, 2, 4], [3], [5, 6]) : 0.9989237679
44 : ([1, 3], [2, 4], [5, 6]) : 0.9936160270
45 : ([1], [2, 4], [3], [5, 6]) : 0.9936943666
46 : ([1, 4], [2, 3], [5, 6]) : 0.9955166370
47 : ([1, 4], [2], [3], [5, 6]) : 0.9750557291
48 : ([1, 2, 3], [4], [5, 6]) : 0.9994430826
49 : ([1], [2, 3], [4], [5, 6]) : 0.9953590639
50 : ([1, 3], [2], [4], [5, 6]) : 0.9934007477
51 : ([1, 2], [3], [4], [5, 6]) : 0.9987875552
52 : ([1], [2], [3], [4], [5, 6]) : 0.9031889290
53 : ([1, 2, 3, 4, 6], [5]) : 0.9996218996
54 : ([1, 5], [2, 3, 4, 6]) : 0.9984605035
55 : ([1], [2, 3, 4, 6], [5]) : 0.9986101852
56 : ([1, 3, 4, 6], [2, 5]) : 0.9980706544
57 : ([1, 3, 4, 6], [2], [5]) : 0.9980730692
58 : ([1, 2, 5], [3, 4, 6]) : 0.9988015410
59 : ([1], [2, 5], [3, 4, 6]) : 0.9957138733
60 : ([1, 5], [2], [3, 4, 6]) : 0.9955928637
61 : ([1, 2], [3, 4, 6], [5]) : 0.9987805189
62 : ([1], [2], [3, 4, 6], [5]) : 0.9953415921
63 : ([1, 2, 4, 6], [3, 5]) : 0.9989812729
